No,시도,구군,삶의_만족도,건강,안전,환경,경제,교육,관계_및_사회참여,여가
63,광주광역시,북구,0.4756,0.5237,0.1966,0.7149,0.2865,0.6689,0.7926,0.472
64,광주광역시,광산구,0.4507,0.4107,0.1435,0.676,0.4107,0.7236,0.6661,0.3659
65,대전광역시,동구,0.156,0.615,0.0392,0.6414,0.2084,0.7541,0.466,0.2359
66,대전광역시,중구,0.2935,0.8593,0.1405,0.6457,0.3407,0.6226,0.6778,0.3258
67,대전광역시,서구,0.5377,0.7111,0.3141,0.6546,0.4407,1.0,0.2432,0.2666
68,대전광역시,유성구,0.9046,0.635,0.3601,0.7096,0.5779,0.968,0.5762,0.4697
69,대전광역시,대덕구,0.1461,0.4975,0.18,0.2606,0.5136,0.8592,0.5909,0.4418
70,울산광역시,중구,0.3973,0.3388,0.4789,0.5284,0.3613,0.6832,0.6615,0.3197
71,울산광역시,남구,0.4764,0.5059,0.5006,0.0733,0.7907,0.8894,0.567,0.3988
72,울산광역시,동구,0.3986,0.4507,0.4477,0.5184,0.6519,0.7956,0.4644,0.3528
73,울산광역시,북구,0.534,0.2201,0.4291,0.5107,0.7063,0.7281,0.886,0.4658
74,울산광역시,울주군,0.5536,0.5847,0.529,0.3364,0.7027,0.7199,0.8033,0.555
75,세종특별자치시,세종시,0.9077,0.232,0.1578,0.6524,0.5119,0.587,0.6737,0.4478
76,경기도,수원시,0.509,0.3975,0.4344,0.4935,0.4787,0.7801,0.6117,0.3505
77,경기도,성남시,0.7403,0.5489,0.3541,0.6296,0.5456,0.7748,0.5492,0.324
78,경기도,의정부시,0.1031,0.5362,0.3894,0.6434,0.3016,0.8666,0.5723,0.205
79,경기도,안양시,0.6081,0.4105,0.4114,0.5422,0.5658,0.8866,0.7167,0.3354
80,경기도,부천시,0.2592,0.5367,0.4468,0.3525,0.4546,0.5391,0.7119,0.1534
81,경기도,광명시,0.5261,0.3612,0.4316,0.6023,0.3779,0.7989,0.9014,0.2223
82,경기도,평택시,0.1617,0.1359,0.2515,0.245,0.605,0.655,0.3863,0.2951
83,경기도,동두천시,0.0158,0.7414,0.2929,0.5047,0.2125,0.4777,0.4181,0.2116
84,경기도,안산시,0.1039,0.2814,0.4194,0.4483,0.551,0.6281,0.3177,0.2747
85,경기도,고양시,0.4211,0.3542,0.2593,0.6464,0.4146,0.7661,0.7029,0.2897
86,경기도,과천시,0.9464,0.495,0.5269,0.7482,0.6877,0.7262,0.92,0.5638
87,경기도,구리시,0.3452,0.567,0.4206,0.5781,0.4192,0.6839,0.6446,0.252
88,경기도,남양주시,0.3529,0.1406,0.2716,0.7385,0.3032,0.6473,0.8731,0.309
89,경기도,오산시,0.1828,0.2476,0.4564,0.4327,0.4448,0.74,0.568,0.3735
90,경기도,시흥시,0.2386,0.2895,0.3102,0.3514,0.6114,0.6935,0.4479,0.4324
91,경기도,군포시,0.7367,0.3599,0.4638,0.6277,0.469,0.8557,0.9343,0.3326
92,경기도,의왕시,0.6721,0.3316,0.4408,0.6481,0.4296,0.8337,0.8661,0.3558
93,경기도,하남시,0.7569,0.221,0.1968,0.7839,0.4264,0.426,0.5394,0.2935
94,경기도,용인시,0.7721,0.2603,0.399,0.642,0.4828,0.8399,0.8206,0.2485
95,경기도,파주시,0.3401,0.3232,0.1751,0.4036,0.5031,0.5562,0.8055,0.466
96,경기도,이천시,0.6505,0.316,0.2407,0.2897,0.6725,0.5669,0.5314,0.4178
97,경기도,안성시,0.123,0.1904,0.0707,0.4621,0.5597,0.8854,0.4324,0.5242
98,경기도,김포시,0.4879,0.2079,0.2981,0.6119,0.509,0.6643,0.6917,0.2691
99,경기도,화성시,0.616,0.3758,0.1456,0.4235,0.8189,0.7077,0.6861,0.3607
100,경기도,광주시,0.2806,0.3259,0.197,0.6372,0.5155,0.3887,0.6939,0.2677
101,경기도,양주시,0.1382,0.2252,0.2128,0.2943,0.4818,0.7058,0.7096,0.5063
102,경기도,포천시,0.1591,0.316,0.1127,0.4173,0.626,0.7527,0.2324,0.5181
103,경기도,여주시,0.2904,0.3271,0.2874,0.5744,0.3567,0.7788,0.3756,0.5813
104,경기도,연천군,0.7871,0.3187,0.3704,0.7912,0.1592,0.4499,0.2145,0.7067
105,경기도,가평군,0.0473,0.6021,0.4336,0.8264,0.3195,0.435,0.2763,0.6209
106,경기도,양평군,0.8345,0.2278,0.3619,0.9072,0.2334,0.2166,0.4959,0.6428
107,강원도,춘천시,0.7609,0.5158,0.2573,0.7182,0.3543,0.9163,0.694,0.3742
108,강원도,원주시,0.4546,0.3926,0.2228,0.3475,0.4601,0.8496,0.6389,0.5222
109,강원도,강릉시,0.7219,0.336,0.3929,0.6507,0.4155,0.7821,0.4982,0.5634
110,강원도,동해시,0.293,0.345,0.4471,0.6233,0.417,0.5509,0.6288,0.5987
111,강원도,태백시,0.8928,0.269,0.5021,0.6582,0.4605,0.3456,0.3939,0.7228
112,강원도,속초시,0.3815,0.4349,0.5777,0.6616,0.3419,0.3912,0.6317,0.4105
113,강원도,삼척시,0.3434,0.4336,0.3152,0.5679,0.405,0.8884,0.6598,0.5861
114,강원도,홍천군,0.8491,0.3439,0.5624,0.6628,0.3694,0.434,0.4133,0.4844
115,강원도,횡성군,0.7133,0.2338,0.7374,0.4682,0.3292,0.7509,0.679,0.6106
116,강원도,영월군,0.4233,0.2006,0.885,0.8183,0.402,0.6244,0.7109,0.8509
117,강원도,평창군,0.4107,0.204,0.3591,0.6143,0.481,0.2596,0.4582,0.6234
118,강원도,정선군,0.7114,0.2109,0.9585,0.7956,0.5146,0.1452,0.5307,0.8498
119,강원도,철원군,0.7473,0.4098,0.4033,0.6829,0.2248,0.3258,0.4799,0.3631
120,강원도,화천군,0.1183,0.3897,0.7363,0.6507,0.3429,0.3247,0.514,0.8618
121,강원도,양구군,0.9673,0.4396,0.9071,0.6011,0.2229,0.1876,0.2445,0.7282
122,강원도,인제군,0.8607,0.2707,0.6855,0.6498,0.4389,0.2333,0.9047,0.8195
123,강원도,고성군,0.8228,0.2236,0.462,0.6615,0.3372,0.3854,0.5825,0.6599
124,강원도,양양군,0.6788,0.2776,0.4523,0.6845,0.4463,0.3986,0.4732,0.76
